experiment_dna_short_read_id	read_length	target_insert_size	sequencing_platform	targeted_region_bed_file	targeted_regions_method	seq_library_prep_kit_method	date_data_generation	analyte_id	experiment_sample_id	sequencing_event_details	experiment_type
PMGRC-572-572-0_LS4429511_SQ6073	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4429511	PMGRC-572-572-0_LS4429511_SQ6073	NA	genome
PMGRC-577-578-2_LS4429506_SQ6068	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4429506	PMGRC-577-578-2_LS4429506_SQ6068	NA	genome
PMGRC-578-578-0_LS4429505_SQ6067	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4429505	PMGRC-578-578-0_LS4429505_SQ6067	NA	genome
PMGRC-579-578-1_LS4429507_SQ6069	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4429507	PMGRC-579-578-1_LS4429507_SQ6069	NA	genome
PMGRC-99-101-2_LS4268817_SQ6049	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	NA	LS4268817	PMGRC-99-101-2_LS4268817_SQ6049	NA	genome
PMGRC-401-401-0_LS4073357_SQ6085	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4073357	PMGRC-401-401-0_LS4073357_SQ6085	NA	genome
PMGRC-346-346-0_LS4073358_SQ6086	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4073358	PMGRC-346-346-0_LS4073358_SQ6086	NA	genome
PMGRC-379-381-2_LS4073359_SQ6087	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4073359	PMGRC-379-381-2_LS4073359_SQ6087	NA	genome
PMGRC-374-372-1_LS4073360_SQ6088	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4073360	PMGRC-374-372-1_LS4073360_SQ6088	NA	genome
PMGRC-373-372-2_LS4073361_SQ6089	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4073361	PMGRC-373-372-2_LS4073361_SQ6089	NA	genome
PMGRC-350-346-1_LS4073362_SQ6090	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4073362	PMGRC-350-346-1_LS4073362_SQ6090	NA	genome
PMGRC-349-346-2_LS4073363_SQ6091	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4073363	PMGRC-349-346-2_LS4073363_SQ6091	NA	genome
PMGRC-348-346-3_LS4073364_SQ6092	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4073364	PMGRC-348-346-3_LS4073364_SQ6092	NA	genome
PMGRC-455-454-2_LS4073388_SQ6093	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4073388	PMGRC-455-454-2_LS4073388_SQ6093	NA	genome
PMGRC-104-104-0_LS4073403_SQ6094	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4073403	PMGRC-104-104-0_LS4073403_SQ6094	NA	genome
PMGRC-138-104-2_LS4073404_SQ6095	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4073404	PMGRC-138-104-2_LS4073404_SQ6095	NA	genome
PMGRC-462-462-0_LS4073405_SQ6096	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4073405	PMGRC-462-462-0_LS4073405_SQ6096	NA	genome
PMGRC-469-466-1_LS4073406_SQ6097	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4073406	PMGRC-469-466-1_LS4073406_SQ6097	NA	genome
PMGRC-313-316-2_LS4268793_SQ6109	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268793	PMGRC-313-316-2_LS4268793_SQ6109	NA	genome
PMGRC-158-158-0_LS4268794_SQ6110	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268794	PMGRC-158-158-0_LS4268794_SQ6110	NA	genome
PMGRC-316-316-0_LS4268795_SQ6111	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268795	PMGRC-316-316-0_LS4268795_SQ6111	NA	genome
PMGRC-160-158-1_LS4268796_SQ6112	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268796	PMGRC-160-158-1_LS4268796_SQ6112	NA	genome
PMGRC-363-363-0_LS4268797_SQ6113	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268797	PMGRC-363-363-0_LS4268797_SQ6113	NA	genome
PMGRC-365-363-1_LS4268798_SQ6114	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268798	PMGRC-365-363-1_LS4268798_SQ6114	NA	genome
PMGRC-364-363-2_LS4268799_SQ6115	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268799	PMGRC-364-363-2_LS4268799_SQ6115	NA	genome
PMGRC-491-493-1_LS4268800_SQ6116	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268800	PMGRC-491-493-1_LS4268800_SQ6116	NA	genome
PMGRC-492-493-2_LS4268801_SQ6117	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268801	PMGRC-492-493-2_LS4268801_SQ6117	NA	genome
PMGRC-522-522-0_LS4268802_SQ6118	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268802	PMGRC-522-522-0_LS4268802_SQ6118	NA	genome
PMGRC-521-522-2_LS4268803_SQ6098	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4268803	PMGRC-521-522-2_LS4268803_SQ6098	NA	genome
PMGRC-531-530-2_LS4268804_SQ6099	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4268804	PMGRC-531-530-2_LS4268804_SQ6099	NA	genome
PMGRC-488-488-0_LS4268819_SQ6119	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268819	PMGRC-488-488-0_LS4268819_SQ6119	NA	genome
PMGRC-489-488-2_LS4268820_SQ6120	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268820	PMGRC-489-488-2_LS4268820_SQ6120	NA	genome
PMGRC-490-488-1_LS4268821_SQ6061	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268821	PMGRC-490-488-1_LS4268821_SQ6061	NA	genome
PMGRC-518-517-2_LS4268822_SQ6062	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268822	PMGRC-518-517-2_LS4268822_SQ6062	NA	genome
PMGRC-517-517-0_LS4268823_SQ6063	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268823	PMGRC-517-517-0_LS4268823_SQ6063	NA	genome
PMGRC-519-517-1_LS4268824_SQ6064	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268824	PMGRC-519-517-1_LS4268824_SQ6064	NA	genome
PMGRC-314-316-1_LS4268825_SQ6065	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268825	PMGRC-314-316-1_LS4268825_SQ6065	NA	genome
PMGRC-288-289-2_LS4268826_SQ6066	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268826	PMGRC-288-289-2_LS4268826_SQ6066	NA	genome
PMGRC-223-223-0_LS4268827_SQ6067	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268827	PMGRC-223-223-0_LS4268827_SQ6067	NA	genome
PMGRC-416-417-3_LS4268828_SQ6068	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268828	PMGRC-416-417-3_LS4268828_SQ6068	NA	genome
PMGRC-409-408-1_LS4268829_SQ6069	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268829	PMGRC-409-408-1_LS4268829_SQ6069	NA	genome
PMGRC-410-408-2_LS4268830_SQ6070	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268830	PMGRC-410-408-2_LS4268830_SQ6070	NA	genome
PMGRC-418-418-0_LS4268831_SQ6071	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268831	PMGRC-418-418-0_LS4268831_SQ6071	NA	genome
PMGRC-446-446-0_LS4268832_SQ6072	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268832	PMGRC-446-446-0_LS4268832_SQ6072	NA	genome
PMGRC-463-462-1_LS4268833_SQ6073	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268833	PMGRC-463-462-1_LS4268833_SQ6073	NA	genome
PMGRC-252-251-2_LS4268834_SQ6074	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268834	PMGRC-252-251-2_LS4268834_SQ6074	NA	genome
PMGRC-253-251-1_LS4268835_SQ6075	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268835	PMGRC-253-251-1_LS4268835_SQ6075	NA	genome
PMGRC-190-188-1_LS4268836_SQ6100	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4268836	PMGRC-190-188-1_LS4268836_SQ6100	NA	genome
PMGRC-189-188-2_LS4268837_SQ6101	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4268837	PMGRC-189-188-2_LS4268837_SQ6101	NA	genome
PMGRC-188-188-0_LS4268838_SQ6102	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-13	LS4268838	PMGRC-188-188-0_LS4268838_SQ6102	NA	genome
PMGRC-468-467-2_LS4268845_SQ6121	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268845	PMGRC-468-467-2_LS4268845_SQ6121	NA	genome
PMGRC-254-233-2_LS4268846_SQ6122	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268846	PMGRC-254-233-2_LS4268846_SQ6122	NA	genome
PMGRC-334-335-2_LS4268847_SQ6123	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268847	PMGRC-334-335-2_LS4268847_SQ6123	NA	genome
PMGRC-336-335-1_LS4268848_SQ6124	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268848	PMGRC-336-335-1_LS4268848_SQ6124	NA	genome
PMGRC-202-204-2_LS4268849_SQ6125	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268849	PMGRC-202-204-2_LS4268849_SQ6125	NA	genome
PMGRC-204-204-0_LS4268850_SQ6126	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-05	LS4268850	PMGRC-204-204-0_LS4268850_SQ6126	NA	genome
PMGRC-454-454-0_LS4268853_SQ6076	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268853	PMGRC-454-454-0_LS4268853_SQ6076	NA	genome
PMGRC-464-462-2_LS4268854_SQ6077	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268854	PMGRC-464-462-2_LS4268854_SQ6077	NA	genome
PMGRC-267-266-2_LS4268855_SQ6078	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268855	PMGRC-267-266-2_LS4268855_SQ6078	NA	genome
PMGRC-335-335-0_LS4268856_SQ6079	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-12-04	LS4268856	PMGRC-335-335-0_LS4268856_SQ6079	NA	genome
PMGRC-612-611-2_LS4429512_SQ6074	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-13	LS4429512	PMGRC-612-611-2_LS4429512_SQ6074	NA	genome
PMGRC-611-611-0_LS4429513_SQ6075	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-13	LS4429513	PMGRC-611-611-0_LS4429513_SQ6075	NA	genome
PMGRC-614-615-1_LS4429514_SQ6076	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-13	LS4429514	PMGRC-614-615-1_LS4429514_SQ6076	NA	genome
PMGRC-615-615-0_LS4429515_SQ6077	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2023-01-13	LS4429515	PMGRC-615-615-0_LS4429515_SQ6077	NA	genome
PMGRC-115-114-1_LS3516151_SQ6085	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516151	PMGRC-115-114-1_LS3516151_SQ6085	NA	genome
PMGRC-114-114-0_LS3516152_SQ6086	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516152	PMGRC-114-114-0_LS3516152_SQ6086	NA	genome
PMGRC-89-88-2_LS3516153_SQ6087	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516153	PMGRC-89-88-2_LS3516153_SQ6087	NA	genome
PMGRC-90-88-1_LS3516154_SQ6088	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516154	PMGRC-90-88-1_LS3516154_SQ6088	NA	genome
PMGRC-88-88-0_LS3516155_SQ6089	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516155	PMGRC-88-88-0_LS3516155_SQ6089	NA	genome
PMGRC-113-114-2_LS3516156_SQ6090	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516156	PMGRC-113-114-2_LS3516156_SQ6090	NA	genome
PMGRC-105-106-2_LS3516157_SQ6091	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516157	PMGRC-105-106-2_LS3516157_SQ6091	NA	genome
PMGRC-103-106-1_LS3516158_SQ6092	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516158	PMGRC-103-106-1_LS3516158_SQ6092	NA	genome
PMGRC-106-106-0_LS3516159_SQ6093	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516159	PMGRC-106-106-0_LS3516159_SQ6093	NA	genome
PMGRC-117-116-2_LS3516161_SQ6095	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516161	PMGRC-117-116-2_LS3516161_SQ6095	NA	genome
PMGRC-127-125-1_LS3516162_SQ6096	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516162	PMGRC-127-125-1_LS3516162_SQ6096	NA	genome
PMGRC-137-137-0_LS3516163_SQ6097	150	350	NovaSeq	NA	NA	IDT xGen DNA EZ library preparation, Custom 2S Turbo for Invitae	2022-05-03	LS3516163	PMGRC-137-137-0_LS3516163_SQ6097	NA	genome
