aligned_rna_short_read_id	aligned_rna_short_read_index_file	alignment_log_file	mean_coverage	reference_assembly	gene_annotation_details	reference_assembly_details	percent_multimapped	alignment_software	experiment_rna_short_read_id	gene_annotation	md5sum	percent_uniquely_aligned	quality_issues	reference_assembly_uri	aligned_rna_short_read_file	percent_unaligned	alignment_postprocessing
PMGRC-169-167-1_LS4339058_SQ11662_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-169-167-1_LS4339058_SQ11662_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11662	GENCODEv41	7c509051919603e77bee92c72d0d3254	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-169-167-1_LS4339058_SQ11662_RNA.cram	NA	NA
PMGRC-167-167-0_LS4339059_SQ11663_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-167-167-0_LS4339059_SQ11663_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11663	GENCODEv41	6b43f58f999c6daf6d0d5ff658ae0a81	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-167-167-0_LS4339059_SQ11663_RNA.cram	NA	NA
PMGRC-13-13-0_LS4339060_SQ11664_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-13-13-0_LS4339060_SQ11664_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11664	GENCODEv41	f25d2b47a5879e9f38158ac6868a752a	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-13-13-0_LS4339060_SQ11664_RNA.cram	NA	NA
PMGRC-166-164-1_LS4339061_SQ11665_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-166-164-1_LS4339061_SQ11665_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11665	GENCODEv41	6c52205511f99562c6369f96816243b6	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-166-164-1_LS4339061_SQ11665_RNA.cram	NA	NA
PMGRC-81-81-0_LS4339062_SQ11666_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-81-81-0_LS4339062_SQ11666_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11666	GENCODEv41	24b97adfe669cfc7c5a2ca5ef8272f85	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-81-81-0_LS4339062_SQ11666_RNA.cram	NA	NA
PMGRC-206-206-0_LS4339063_SQ11667_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-206-206-0_LS4339063_SQ11667_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11667	GENCODEv41	367ad3de421d3661ed39f7f5e771c87c	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-206-206-0_LS4339063_SQ11667_RNA.cram	NA	NA
PMGRC-207-206-2_LS4339064_SQ6037_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-207-206-2_LS4339064_SQ6037_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ6037	GENCODEv41	2e678fff27b8abe63141b8e8c9bbd30f	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-207-206-2_LS4339064_SQ6037_RNA.cram	NA	NA
PMGRC-164-164-0_LS4339065_SQ11669_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-164-164-0_LS4339065_SQ11669_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11669	GENCODEv41	1481e0755f01cdd6a8535eab10013fd6	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-164-164-0_LS4339065_SQ11669_RNA.cram	NA	NA
PMGRC-165-164-2_LS4339066_SQ11670_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-165-164-2_LS4339066_SQ11670_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11670	GENCODEv41	008ac1c3fe132ba0db655d62c80ebeac	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-165-164-2_LS4339066_SQ11670_RNA.cram	NA	NA
PMGRC-229-194-1_LS4339067_SQ11671_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-229-194-1_LS4339067_SQ11671_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ11671	GENCODEv41	a19ebb00feb0c73b2c6ff422c030a37a	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-229-194-1_LS4339067_SQ11671_RNA.cram	NA	NA
PMGRC-218-81-2_LS4339068_SQ6055_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-218-81-2_LS4339068_SQ6055_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ6055	GENCODEv41	2366274a4af68cc1e02ec83116bfd62f	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-218-81-2_LS4339068_SQ6055_RNA.cram	NA	NA
PMGRC-48-48-0_LS4339069_SQ6056_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-48-48-0_LS4339069_SQ6056_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ6056	GENCODEv41	061409f66c3e6c27721789440c9d301c	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-48-48-0_LS4339069_SQ6056_RNA.cram	NA	NA
PMGRC-49-48-2_LS4339070_SQ6057_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-49-48-2_LS4339070_SQ6057_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ6057	GENCODEv41	5876b8d20908af673e2e0d0d51b6c30d	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-49-48-2_LS4339070_SQ6057_RNA.cram	NA	NA
PMGRC-194-194-0_LS4339071_SQ6058_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-194-194-0_LS4339071_SQ6058_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ6058	GENCODEv41	d5a810172b35e2e95a686b02efa459a9	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-194-194-0_LS4339071_SQ6058_RNA.cram	NA	NA
PMGRC-5-5-0_LS4339072_SQ8342_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-5-5-0_LS4339072_SQ8342_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8342	GENCODEv41	021e45e0ff8ca441d2e208acaf12ce71	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-5-5-0_LS4339072_SQ8342_RNA.cram	NA	NA
PMGRC-6-5-1_LS4339073_SQ8343_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-6-5-1_LS4339073_SQ8343_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8343	GENCODEv41	0468fa5f1a418c93e5a409b28f080d82	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-6-5-1_LS4339073_SQ8343_RNA.cram	NA	NA
PMGRC-79-79-0_LS4339074_SQ8344_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-79-79-0_LS4339074_SQ8344_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8344	GENCODEv41	07a7be2d302994157d46fcee300bb875	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-79-79-0_LS4339074_SQ8344_RNA.cram	NA	NA
PMGRC-230-79-1_LS4339075_SQ8345_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-230-79-1_LS4339075_SQ8345_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8345	GENCODEv41	c96fb8bc803372047759213c34656d79	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-230-79-1_LS4339075_SQ8345_RNA.cram	NA	NA
PMGRC-231-79-2_LS4339076_SQ8346_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-231-79-2_LS4339076_SQ8346_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8346	GENCODEv41	95ebfd6c88cd9cfc951daeaf98d77314	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-231-79-2_LS4339076_SQ8346_RNA.cram	NA	NA
PMGRC-234-234-0_LS4339077_SQ8347_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-234-234-0_LS4339077_SQ8347_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8347	GENCODEv41	ecb7e79eb9d33f52d09c604910ebe70b	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-234-234-0_LS4339077_SQ8347_RNA.cram	NA	NA
PMGRC-208-209-1_LS4339078_SQ8348_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-208-209-1_LS4339078_SQ8348_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8348	GENCODEv41	f521188cfdb49928f1a98419e97733dd	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-208-209-1_LS4339078_SQ8348_RNA.cram	NA	NA
PMGRC-128-116-1_LS4339079_SQ8349_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-128-116-1_LS4339079_SQ8349_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8349	GENCODEv41	56ab08624de7b855b59026fcaa3f6aa9	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-128-116-1_LS4339079_SQ8349_RNA.cram	NA	NA
PMGRC-83-82-2_LS4339080_SQ8350_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-83-82-2_LS4339080_SQ8350_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8350	GENCODEv41	60de9c0082809fb9a208b01e45db5c14	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-83-82-2_LS4339080_SQ8350_RNA.cram	NA	NA
PMGRC-82-82-0_LS4339081_SQ8351_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-82-82-0_LS4339081_SQ8351_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8351	GENCODEv41	bf3bbe45817ba64d3049ef9742c96655	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-82-82-0_LS4339081_SQ8351_RNA.cram	NA	NA
PMGRC-135-107-1_LS4339082_SQ8352_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-135-107-1_LS4339082_SQ8352_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8352	GENCODEv41	8d6051ecfa321ce24e68513eea413a22	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-135-107-1_LS4339082_SQ8352_RNA.cram	NA	NA
PMGRC-111-107-2_LS4339083_SQ8353_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-111-107-2_LS4339083_SQ8353_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8353	GENCODEv41	2be2d432c06d31685288f7a9bf87d4df	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-111-107-2_LS4339083_SQ8353_RNA.cram	NA	NA
PMGRC-47-46-2_LS4339084_SQ8354_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-47-46-2_LS4339084_SQ8354_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8354	GENCODEv41	7d29da14a53f34b7579b0ea6ee82856b	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-47-46-2_LS4339084_SQ8354_RNA.cram	NA	NA
PMGRC-46-46-0_LS4339085_SQ8355_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-46-46-0_LS4339085_SQ8355_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8355	GENCODEv41	8eea76aedf082cbf3bd205d0b2cea766	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-46-46-0_LS4339085_SQ8355_RNA.cram	NA	NA
PMGRC-241-32-1_LS4339086_SQ8356_RNA	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-241-32-1_LS4339086_SQ8356_RNA.cram.crai	NA	NA	GRCh38	gencode_comprehensive_chr	NA	NA	STARv2.7.10a	CNH_I_SQ8356	GENCODEv41	1bf36e2961e7a9bf0624d314bf60533e	NA	NA	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/GRCh38_reference_genome/GRCh38_full_analysis_set_plus_decoy_hla.fa	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/RNA/PMGRC-241-32-1_LS4339086_SQ8356_RNA.cram	NA	NA
