aligned_dna_short_read_id	aligned_dna_short_read_file	md5sum	quality_issues	experiment_dna_short_read_id	reference_assembly	analysis_details	reference_assembly_details	alignment_software	reference_assembly_uri	mean_coverage	aligned_dna_short_read_index_file
PMGRC-251-251-0_LS4268790_SQ6094_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-251-251-0_LS4268790_SQ6094.cram	4580a17bc8e44f2058f3634bd2e41e48	NA	PMGRC-251-251-0_LS4268790_SQ6094	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	40.4	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-251-251-0_LS4268790_SQ6094.crai
PMGRC-266-266-0_LS4268840_SQ6098_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-266-266-0_LS4268840_SQ6098.cram	ff6b2ef902f8db16b5c19b3bb92a305a	NA	PMGRC-266-266-0_LS4268840_SQ6098	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	32.2	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-266-266-0_LS4268840_SQ6098.crai
PMGRC-268-266-1_LS4268839_SQ6097_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-268-266-1_LS4268839_SQ6097.cram	feccd825d8759e69ec3dcc136a4fa9b2	NA	PMGRC-268-266-1_LS4268839_SQ6097	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	60.2	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-268-266-1_LS4268839_SQ6097.crai
PMGRC-281-281-0_LS4268806_SQ6038_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-281-281-0_LS4268806_SQ6038.cram	606dc765b1a0c36a8076492934f870bb	NA	PMGRC-281-281-0_LS4268806_SQ6038	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	33.5	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-281-281-0_LS4268806_SQ6038.crai
PMGRC-315-316-3_LS4268791_SQ6095_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-315-316-3_LS4268791_SQ6095.cram	f1e6effdaa5f9468cf8606d653878c13	NA	PMGRC-315-316-3_LS4268791_SQ6095	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	57.6	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-315-316-3_LS4268791_SQ6095.crai
PMGRC-375-375-0_LS4268844_SQ6102_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-375-375-0_LS4268844_SQ6102.cram	f5fbfa6ea9f82749521d7003d9a75f03	NA	PMGRC-375-375-0_LS4268844_SQ6102	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	37.2	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-375-375-0_LS4268844_SQ6102.crai
PMGRC-403-403-0_LS4268782_SQ6086_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-403-403-0_LS4268782_SQ6086.cram	f19dfaf91c65975ac892f09816344ee2	NA	PMGRC-403-403-0_LS4268782_SQ6086	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	48.7	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-403-403-0_LS4268782_SQ6086.crai
PMGRC-405-403-2_LS4268783_SQ6087_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-405-403-2_LS4268783_SQ6087.cram	120b8ad0eb59101b235bd7c03275d436	NA	PMGRC-405-403-2_LS4268783_SQ6087	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	54.5	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-405-403-2_LS4268783_SQ6087.crai
PMGRC-422-421-2_LS4268852_SQ6062_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-422-421-2_LS4268852_SQ6062.cram	2a2b465cd5e1e3414c39072c58daeea4	NA	PMGRC-422-421-2_LS4268852_SQ6062	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	47.6	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-422-421-2_LS4268852_SQ6062.crai
PMGRC-459-459-0_LS4268785_SQ6089_1	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-459-459-0_LS4268785_SQ6089.cram	0f1ae436413121c9af0cafdea62d39ee	NA	PMGRC-459-459-0_LS4268785_SQ6089	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	34.5	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-459-459-0_LS4268785_SQ6089.crai
PMGRC-460-459-2_LS4268787_SQ6091_1	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-460-459-2_LS4268787_SQ6091.cram	adf2885bcb2710f3f077f8269d405d95	NA	PMGRC-460-459-2_LS4268787_SQ6091	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	54.2	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-460-459-2_LS4268787_SQ6091.crai
PMGRC-461-459-1_LS4268786_SQ6090_1	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-461-459-1_LS4268786_SQ6090.cram	b1c2928484650a32935cac2d8fa47cd0	NA	PMGRC-461-459-1_LS4268786_SQ6090	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	51.7	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-461-459-1_LS4268786_SQ6090.crai
PMGRC-467-467-0_LS4268842_SQ6100_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-467-467-0_LS4268842_SQ6100.cram	c67aa3088826fc932632aec13915b903	NA	PMGRC-467-467-0_LS4268842_SQ6100	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	47.1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-467-467-0_LS4268842_SQ6100.crai
PMGRC-470-467-1_LS4268841_SQ6099_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-470-467-1_LS4268841_SQ6099.cram	ea14d7f13ca0525cbecf7a5c0b9d4dd6	NA	PMGRC-470-467-1_LS4268841_SQ6099	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	61.8	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-470-467-1_LS4268841_SQ6099.crai
PMGRC-477-477-0_LS4268851_SQ6061_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-477-477-0_LS4268851_SQ6061.cram	9b3f416c09d893337c38099b4be468e1	NA	PMGRC-477-477-0_LS4268851_SQ6061	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	39.7	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-477-477-0_LS4268851_SQ6061.crai
PMGRC-485-485-0_LS4429501_SQ6064_1	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-485-485-0_LS4429501_SQ6064.cram	6289ed8460cd90273d11007cc5f0df4f	NA	PMGRC-485-485-0_LS4429501_SQ6064	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	55	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-485-485-0_LS4429501_SQ6064.crai
PMGRC-486-485-2_LS4429502_SQ6065_1	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-486-485-2_LS4429502_SQ6065.cram	2ff134871b74d9de74ab7f38bc94db40	NA	PMGRC-486-485-2_LS4429502_SQ6065	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	54.5	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-486-485-2_LS4429502_SQ6065.crai
PMGRC-487-485-1_LS4429503_SQ6066_1	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-487-485-1_LS4429503_SQ6066.cram	c8c6110b014980ea4fd20aafc825a50a	NA	PMGRC-487-485-1_LS4429503_SQ6066	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	47.3	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-487-485-1_LS4429503_SQ6066.crai
PMGRC-509-509-0_LS4429497_SQ6054_1	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-509-509-0_LS4429497_SQ6054.cram	6c63693fb49f079888e9eb269e7bef1b	NA	PMGRC-509-509-0_LS4429497_SQ6054	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	36.1	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-509-509-0_LS4429497_SQ6054.crai
PMGRC-510-509-2_LS4429496_SQ6053_1	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-510-509-2_LS4429496_SQ6053.cram	770ab0a7cdc3f65b192e011e2e126a4e	NA	PMGRC-510-509-2_LS4429496_SQ6053	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	39.8	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-510-509-2_LS4429496_SQ6053.crai
PMGRC-511-509-1_LS4429495_SQ6052_1	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-511-509-1_LS4429495_SQ6052.cram	ce2a0bfc3ec10b27b63e6eaf52adf5f6	NA	PMGRC-511-509-1_LS4429495_SQ6052	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	GRCh38, no alts	bwa 0.7.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	50.8	gs://fc-secure-3cbd4d3d-7331-46f9-a98f-ebba0a894562/cram/PMGRC-511-509-1_LS4429495_SQ6052.crai
PMGRC-513-512-2_LS4268813_SQ6045_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-513-512-2_LS4268813_SQ6045.cram	5e31b25d0145831caaba736cc7b180a5	NA	PMGRC-513-512-2_LS4268813_SQ6045	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	46.7	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-513-512-2_LS4268813_SQ6045.crai
PMGRC-523-281-2_LS4268805_SQ6037_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-523-281-2_LS4268805_SQ6037.cram	35e292f5f11f5b5b4ff806063538425f	NA	PMGRC-523-281-2_LS4268805_SQ6037	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	28.8	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-523-281-2_LS4268805_SQ6037.crai
PMGRC-524-525-2_LS4429510_SQ6072_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-524-525-2_LS4429510_SQ6072.cram	85d1ead19d91552cd5bbccef627337c0	NA	PMGRC-524-525-2_LS4429510_SQ6072	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	64.4	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-524-525-2_LS4429510_SQ6072.crai
PMGRC-525-525-0_LS4429498_SQ6055_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-525-525-0_LS4429498_SQ6055.cram	c934eaa275ef8fb63afb3eee8bc6a04f	NA	PMGRC-525-525-0_LS4429498_SQ6055	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	54.5	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-525-525-0_LS4429498_SQ6055.crai
PMGRC-526-525-3_LS4429500_SQ6063_1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-526-525-3_LS4429500_SQ6063.cram	5de1f950d46d17ad23b6ddd8e9ada98a	NA	PMGRC-526-525-3_LS4429500_SQ6063	GRCh38	Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.	NA	bwa 0.7.17	NA	62.1	gs://fc-secure-be182c9d-e20a-43aa-b158-39113ea47705/cram/PMGRC-526-525-3_LS4429500_SQ6063.crai
